Crop,State,Soil_Type,Season,Crop_Water_Requirement_mm,Rainfall_mm,Effective_Rainfall_mm,Irrigation_Efficiency,Net_Irrigation_Requirement_mm,Recommended_Water_mm,Potential_Water_Saving_Percent,Water_Saving_Method,Farm_Area_Hectares,Recommended_Water_m3
Barley,Jharkhand,Alluvial,Rabi,418.43,412.22,236.08,0.837,165.61,197.93,42.03,Alternate Wetting / Controlled Irrigation,94.7,187439.71
Maize,Telangana,Sandy,Rabi,704.65,703.91,545.65,0.703,243.56,346.52,42.52,Drip Irrigation,61.74,213941.45
Rice,Uttar Pradesh,Clay,Kharif,1266.79,905.24,691.34,0.89,474.11,532.61,10.8,Alternate Wetting and Drying,97.44,518975.18
Groundnut,Bihar,Loamy,Kharif,614.04,1618.26,491.23,0.797,122.81,154.13,34.21,Controlled Irrigation,47.85,73751.2
Onion,Uttar Pradesh,Red,Rabi,549.17,884.88,439.33,0.902,137.29,152.15,38.13,Drip or Sprinkler Irrigation,23.26,35390.09
Carrot,Madhya Pradesh,Loamy,Rabi,449.15,420.32,317.15,0.78,132.01,169.19,30.73,Controlled Irrigation,74.22,125572.82
Tomato,Maharashtra,Red,Kharif,510.07,1127.13,408.06,0.77,127.52,165.7,25.93,Drip or Sprinkler Irrigation,24.62,40795.34
Mustard,Rajasthan,Alluvial,Rabi,457.14,1081.19,365.71,0.823,73.14,88.91,44.9,Alternate Wetting / Controlled Irrigation,50.66,45041.81
Lentil,Andhra Pradesh,Loamy,Rabi,395.43,1404.86,316.35,0.678,79.09,116.68,32.69,Controlled Irrigation,85.8,100111.44
Cotton,Assam,Loamy,Kharif,698.83,540.75,324.91,0.899,373.92,415.92,22.81,Controlled Irrigation,89.94,374078.45
Cotton,Himachal Pradesh,Black,Kharif,676.82,853.53,541.46,0.914,121.83,133.26,41.7,Drip Irrigation,67.77,90310.3
Rice,Chhattisgarh,Loamy,Kharif,1241.48,456.92,302.12,0.801,939.36,1173.42,11.67,Controlled Irrigation,99.07,1162507.19
Maize,Maharashtra,Sandy,Rabi,691.59,1650.91,553.27,0.716,221.31,309.29,34.63,Drip Irrigation,59.67,184553.34
Sugarcane,Telangana,Black,Kharif,1355.08,510.0,378.13,0.851,949.85,1116.1,14.98,Drip Irrigation,80.42,897567.62
Soybean,Kerala,Black,Kharif,504.41,905.02,403.53,0.679,90.79,133.69,25.99,Drip Irrigation,90.11,120468.06
Wheat,Tamil Nadu,Alluvial,Rabi,526.32,888.42,421.06,0.913,84.21,92.28,40.88,Alternate Wetting / Controlled Irrigation,15.51,14312.63
Jute,Telangana,Loamy,Kharif,637.8,656.9,446.01,0.896,191.79,214.09,37.86,Controlled Irrigation,4.47,9569.82
Barley,Madhya Pradesh,Alluvial,Rabi,462.59,595.92,337.35,0.899,106.74,118.78,44.95,Alternate Wetting / Controlled Irrigation,74.51,88502.98
Chickpea,Himachal Pradesh,Black,Rabi,492.88,370.88,304.52,0.764,178.51,233.63,27.01,Drip Irrigation,92.83,216878.73
Tomato,Telangana,Alluvial,Rabi,551.83,1764.84,441.46,0.808,88.29,109.33,41.48,Alternate Wetting / Controlled Irrigation,22.59,24697.65
Carrot,Maharashtra,Sandy,Rabi,332.18,1615.45,265.74,0.822,106.3,129.3,44.65,Drip Irrigation,3.06,3956.58
Jute,Andhra Pradesh,Loamy,Kharif,764.51,1054.05,611.61,0.837,152.9,182.71,42.79,Controlled Irrigation,25.39,46390.07
Millet,Haryana,Loamy,Kharif,383.35,410.24,258.78,0.901,124.57,138.22,32.98,Controlled Irrigation,56.02,77430.84
Potato,Jharkhand,Sandy,Rabi,599.2,698.24,424.4,0.757,246.7,325.88,26.72,Drip Irrigation,46.1,150230.68
Cotton,Punjab,Loamy,Kharif,700.93,1253.6,560.74,0.651,140.19,215.25,43.35,Controlled Irrigation,28.14,60571.35
Barley,Karnataka,Alluvial,Rabi,433.44,1733.13,346.75,0.716,69.35,96.92,27.76,Alternate Wetting / Controlled Irrigation,64.86,62862.31
Maize,Andhra Pradesh,Loamy,Rabi,612.4,1796.76,489.92,0.701,122.48,174.64,43.04,Controlled Irrigation,35.05,61211.32
Cabbage,Uttarakhand,Alluvial,Rabi,419.77,281.44,191.63,0.732,211.35,288.85,34.6,Alternate Wetting / Controlled Irrigation,99.51,287434.64
Potato,Himachal Pradesh,Alluvial,Rabi,529.04,864.21,423.23,0.836,84.65,101.23,38.04,Alternate Wetting / Controlled Irrigation,28.71,29063.13
Mustard,Rajasthan,Alluvial,Rabi,330.27,1106.04,264.22,0.702,52.84,75.3,33.35,Alternate Wetting / Controlled Irrigation,62.12,46776.36
Carrot,Tamil Nadu,Sandy,Rabi,321.47,1020.8,257.17,0.778,102.87,132.16,30.08,Drip Irrigation,0.83,1096.93
Lentil,Chhattisgarh,Loamy,Rabi,324.54,445.93,258.77,0.872,65.77,75.38,36.6,Controlled Irrigation,98.96,74596.05
Groundnut,Karnataka,Sandy,Kharif,515.95,1580.04,412.76,0.681,165.1,242.32,34.53,Drip Irrigation,77.38,187507.22
Banana,Bihar,Black,Kharif,1246.29,1479.8,973.01,0.8,248.35,310.44,29.85,Drip Irrigation,94.67,293893.55
Barley,Uttarakhand,Alluvial,Rabi,478.79,1747.16,383.04,0.719,76.61,106.54,37.23,Alternate Wetting / Controlled Irrigation,42.22,44981.19
Jute,Telangana,Alluvial,Kharif,706.38,1184.46,565.1,0.76,113.02,148.8,29.74,Alternate Wetting / Controlled Irrigation,44.98,66930.24
Mustard,Tamil Nadu,Black,Rabi,472.27,269.67,191.24,0.852,271.58,318.84,28.16,Drip Irrigation,3.21,10234.76
Barley,Madhya Pradesh,Alluvial,Rabi,399.45,304.44,227.36,0.736,156.12,211.97,10.24,Alternate Wetting / Controlled Irrigation,98.8,209426.36
Sugarcane,Odisha,Black,Kharif,1331.45,1617.07,917.67,0.699,387.16,554.03,35.56,Drip Irrigation,89.96,498405.39
Potato,Haryana,Alluvial,Rabi,568.36,1095.64,454.69,0.725,90.94,125.42,42.25,Alternate Wetting / Controlled Irrigation,49.7,62333.74
Maize,Uttar Pradesh,Loamy,Rabi,591.56,845.91,473.25,0.786,118.31,150.51,38.22,Controlled Irrigation,1.71,2573.72
Tomato,Haryana,Loamy,Rabi,589.57,901.1,471.65,0.846,117.91,139.36,26.05,Controlled Irrigation,93.63,130482.77
Pigeonpea,Tamil Nadu,Loamy,Kharif,570.4,638.57,456.32,0.688,114.08,165.84,42.82,Controlled Irrigation,67.35,111693.24
Wheat,Rajasthan,Loamy,Rabi,514.54,446.17,291.9,0.822,222.64,270.84,36.46,Controlled Irrigation,90.63,245462.29
Millet,West Bengal,Red,Kharif,444.34,355.52,206.81,0.847,259.74,306.66,27.27,Drip or Sprinkler Irrigation,26.28,80590.25
Groundnut,Karnataka,Sandy,Kharif,437.96,282.69,230.09,0.878,260.43,296.54,19.25,Drip Irrigation,94.06,278925.52
Tomato,Uttar Pradesh,Red,Kharif,417.92,1034.28,334.33,0.765,104.48,136.62,43.36,Drip or Sprinkler Irrigation,2.77,3784.37
Barley,Andhra Pradesh,Alluvial,Rabi,447.09,890.48,357.67,0.863,71.53,82.92,27.93,Alternate Wetting / Controlled Irrigation,87.47,72530.12
Mustard,Assam,Loamy,Rabi,458.98,1339.32,367.19,0.771,91.8,118.99,32.18,Controlled Irrigation,29.95,35637.5
Millet,Punjab,Loamy,Kharif,486.01,355.17,279.79,0.824,206.22,250.36,17.29,Controlled Irrigation,31.95,79990.02
Soybean,Rajasthan,Black,Kharif,574.44,1234.18,459.55,0.834,103.4,124.02,44.94,Drip Irrigation,48.69,60385.34
Barley,Chhattisgarh,Alluvial,Rabi,452.42,1408.29,361.94,0.87,72.39,83.18,28.84,Alternate Wetting / Controlled Irrigation,82.49,68615.18
Chickpea,Bihar,Red,Rabi,468.98,1149.31,375.18,0.779,117.25,150.6,36.72,Drip or Sprinkler Irrigation,16.15,24321.9
Potato,Jharkhand,Loamy,Rabi,497.52,1227.37,398.01,0.659,99.5,151.1,36.56,Controlled Irrigation,18.18,27469.98
Soybean,Uttarakhand,Loamy,Kharif,679.18,1499.46,543.34,0.855,135.84,158.9,39.7,Controlled Irrigation,55.23,87760.47
Carrot,Tamil Nadu,Loamy,Rabi,403.62,1099.16,322.89,0.682,80.72,118.3,27.99,Controlled Irrigation,42.85,50691.55
Cabbage,Punjab,Loamy,Rabi,385.62,417.47,308.5,0.815,77.12,94.58,35.12,Controlled Irrigation,40.64,38437.31
Barley,Uttar Pradesh,Loamy,Rabi,412.78,1253.23,330.22,0.767,82.56,107.58,43.92,Controlled Irrigation,11.22,12070.48
Cabbage,Jharkhand,Alluvial,Rabi,494.29,387.36,274.6,0.694,199.93,288.18,16.48,Alternate Wetting / Controlled Irrigation,28.28,81497.3
Pigeonpea,Punjab,Black,Kharif,504.18,1215.89,403.34,0.695,90.75,130.6,44.27,Drip Irrigation,36.71,47943.26
Sugarcane,Karnataka,Black,Kharif,1666.12,1301.33,888.91,0.726,743.89,1024.8,15.73,Drip Irrigation,41.98,430211.04
Potato,Maharashtra,Alluvial,Rabi,471.96,883.45,377.57,0.732,75.51,103.2,37.8,Alternate Wetting / Controlled Irrigation,59.87,61785.84
Lentil,Tamil Nadu,Alluvial,Rabi,351.11,1027.75,280.89,0.656,56.18,85.65,27.96,Alternate Wetting / Controlled Irrigation,18.47,15819.56
Banana,Madhya Pradesh,Loamy,Kharif,1267.92,621.98,456.47,0.695,811.44,1166.97,24.84,Controlled Irrigation,84.43,985272.77
Onion,Karnataka,Red,Rabi,469.41,1513.67,375.53,0.899,117.35,130.47,38.55,Drip or Sprinkler Irrigation,11.84,15447.65
Lentil,Karnataka,Loamy,Rabi,327.21,520.2,261.77,0.691,65.44,94.64,44.49,Controlled Irrigation,33.63,31827.43
Groundnut,Haryana,Red,Kharif,608.82,1775.07,487.05,0.761,152.2,199.88,31.32,Drip or Sprinkler Irrigation,42.97,85888.44
Sugarcane,Andhra Pradesh,Black,Kharif,1649.13,1746.28,1319.31,0.687,296.84,432.33,35.83,Drip Irrigation,14.43,62385.22
Chickpea,Jharkhand,Black,Rabi,353.59,519.27,282.87,0.755,63.65,84.25,34.76,Drip Irrigation,67.17,56590.73
Sugarcane,Jharkhand,Alluvial,Kharif,1416.43,1276.54,951.32,0.891,408.46,458.52,25.56,Alternate Wetting / Controlled Irrigation,13.95,63963.54
Banana,West Bengal,Black,Kharif,1026.18,1377.3,820.94,0.712,184.71,259.38,28.77,Drip Irrigation,71.37,185119.51
Banana,Himachal Pradesh,Black,Kharif,1279.07,738.63,428.42,0.675,825.07,1222.76,23.53,Drip Irrigation,33.0,403510.8
Tomato,Madhya Pradesh,Alluvial,Kharif,595.48,1655.16,476.39,0.887,95.28,107.43,37.7,Alternate Wetting / Controlled Irrigation,9.63,10345.51
Maize,Andhra Pradesh,Loamy,Rabi,739.88,931.62,546.64,0.876,193.24,220.68,26.05,Controlled Irrigation,94.39,208299.85
Lentil,Assam,Alluvial,Rabi,418.64,1457.43,334.91,0.678,66.98,98.83,41.13,Alternate Wetting / Controlled Irrigation,89.28,88235.42
Groundnut,Tamil Nadu,Red,Kharif,534.78,1327.63,427.82,0.904,133.69,147.96,27.72,Drip or Sprinkler Irrigation,9.37,13863.85
Maize,Bihar,Sandy,Rabi,720.27,1088.2,576.21,0.858,230.49,268.74,41.04,Drip Irrigation,55.2,148344.48
Carrot,Chhattisgarh,Loamy,Rabi,323.15,265.36,223.95,0.873,99.2,113.6,19.68,Controlled Irrigation,2.56,2908.16
Groundnut,Madhya Pradesh,Loamy,Kharif,449.0,1454.52,359.2,0.656,89.8,136.96,31.1,Controlled Irrigation,84.33,115498.37
Cabbage,Kerala,Alluvial,Rabi,385.5,1344.88,308.4,0.894,61.68,69.0,41.99,Alternate Wetting / Controlled Irrigation,1.03,710.7
Onion,Kerala,Red,Rabi,521.47,1568.73,417.18,0.845,130.37,154.33,43.67,Drip or Sprinkler Irrigation,99.96,154268.27
Pigeonpea,Karnataka,Black,Kharif,498.5,1796.03,398.8,0.688,89.73,130.48,32.13,Drip Irrigation,7.94,10360.11
Cotton,Rajasthan,Black,Kharif,562.19,1764.61,449.75,0.768,101.19,131.71,29.64,Drip Irrigation,18.07,23800.0
Maize,Chhattisgarh,Loamy,Rabi,567.98,1780.04,454.38,0.81,113.6,140.24,26.57,Controlled Irrigation,95.44,133845.06
Sugarcane,Himachal Pradesh,Loamy,Kharif,1469.63,1324.68,958.49,0.67,511.14,762.46,31.71,Controlled Irrigation,68.16,519692.74
Potato,Punjab,Sandy,Rabi,594.87,1290.24,475.89,0.73,190.36,260.8,26.93,Drip Irrigation,32.1,83716.8
Tomato,Himachal Pradesh,Loamy,Rabi,432.7,1541.41,346.16,0.694,86.54,124.74,44.94,Controlled Irrigation,93.43,116544.58
Chickpea,Andhra Pradesh,Black,Rabi,444.9,1021.44,355.92,0.772,80.08,103.72,41.16,Drip Irrigation,26.45,27433.94
Barley,Telangana,Alluvial,Rabi,432.0,771.02,345.6,0.679,69.12,101.78,34.39,Alternate Wetting / Controlled Irrigation,2.96,3012.69
Maize,Haryana,Loamy,Kharif,594.11,362.36,254.87,0.817,339.24,415.31,26.5,Controlled Irrigation,49.78,206741.32
Potato,Telangana,Sandy,Rabi,464.8,1034.46,371.84,0.86,148.74,173.04,36.22,Drip Irrigation,51.72,89496.29
Groundnut,Odisha,Sandy,Kharif,460.68,480.33,368.54,0.865,147.42,170.35,37.36,Drip Irrigation,85.78,146126.23
Banana,Assam,Black,Kharif,1212.32,1725.12,969.86,0.895,218.22,243.91,35.11,Drip Irrigation,2.23,5439.19
Lentil,Assam,Loamy,Rabi,371.0,889.75,296.8,0.812,74.2,91.43,27.71,Controlled Irrigation,66.05,60389.52
Chickpea,Chhattisgarh,Red,Rabi,454.88,1598.56,363.9,0.857,113.72,132.69,25.93,Drip or Sprinkler Irrigation,67.36,89379.98
Chickpea,Uttarakhand,Black,Rabi,468.8,1198.26,375.04,0.875,84.38,96.48,35.32,Drip Irrigation,31.23,30130.7
Millet,West Bengal,Sandy,Kharif,478.1,1608.15,382.48,0.814,152.99,188.05,33.72,Drip Irrigation,36.46,68563.03
Cotton,Bihar,Loamy,Kharif,759.41,835.37,607.53,0.913,151.88,166.39,25.69,Controlled Irrigation,15.32,25490.95
Chickpea,Haryana,Black,Rabi,490.3,1507.56,392.24,0.718,88.25,122.86,41.58,Drip Irrigation,60.3,74084.58
Onion,Kerala,Sandy,Kharif,377.95,302.76,232.91,0.905,190.4,210.41,16.55,Drip Irrigation,1.7,3576.97
Sugarcane,Rajasthan,Loamy,Kharif,1734.45,978.96,818.44,0.83,916.0,1103.84,22.09,Controlled Irrigation,24.86,274414.62
Mustard,Telangana,Alluvial,Rabi,369.42,269.13,224.66,0.88,129.98,147.66,11.45,Alternate Wetting / Controlled Irrigation,43.93,64867.04
Jute,Kerala,Loamy,Kharif,816.54,1295.38,653.23,0.872,163.31,187.32,27.67,Controlled Irrigation,45.02,84331.46
Millet,Uttar Pradesh,Sandy,Kharif,490.33,286.85,166.19,0.84,382.98,455.82,27.71,Drip Irrigation,2.34,10666.19
Wheat,Uttar Pradesh,Loamy,Rabi,598.68,1338.47,478.94,0.709,119.74,168.87,28.21,Controlled Irrigation,98.96,167113.75
Carrot,Himachal Pradesh,Loamy,Rabi,483.1,954.89,386.48,0.742,96.62,130.18,34.02,Controlled Irrigation,68.44,89095.19
Chickpea,Jharkhand,Red,Rabi,365.89,698.46,292.71,0.735,91.47,124.39,26.09,Drip or Sprinkler Irrigation,78.07,97111.27
Sugarcane,Uttar Pradesh,Loamy,Kharif,1713.52,543.19,377.75,0.778,1335.77,1717.09,15.16,Controlled Irrigation,13.72,235584.75
Soybean,Haryana,Loamy,Kharif,640.06,776.12,512.04,0.775,128.01,165.23,28.68,Controlled Irrigation,31.96,52807.51
Cotton,Andhra Pradesh,Alluvial,Kharif,721.93,720.86,477.7,0.667,215.35,322.66,37.36,Alternate Wetting / Controlled Irrigation,78.88,254514.21
Rice,Gujarat,Alluvial,Kharif,1303.02,932.58,598.3,0.884,652.6,737.94,16.36,Alternate Wetting / Controlled Irrigation,27.74,204704.56
Pigeonpea,Haryana,Red,Kharif,519.82,1454.88,415.86,0.679,129.96,191.35,43.61,Drip or Sprinkler Irrigation,88.15,168675.03
Maize,Kerala,Sandy,Kharif,672.05,506.56,283.43,0.76,469.26,617.43,10.05,Drip Irrigation,45.71,282227.25
Wheat,Haryana,Alluvial,Rabi,526.79,1107.33,421.43,0.777,84.29,108.44,43.99,Alternate Wetting / Controlled Irrigation,11.23,12177.81
Pigeonpea,Maharashtra,Black,Kharif,619.74,769.29,441.41,0.725,165.93,228.79,39.73,Drip Irrigation,69.54,159100.57
Millet,Jharkhand,Red,Kharif,342.18,1280.8,273.74,0.784,85.54,109.13,39.43,Drip or Sprinkler Irrigation,96.01,104775.71
Lentil,Uttar Pradesh,Alluvial,Rabi,390.07,1277.6,312.06,0.902,62.41,69.17,40.34,Alternate Wetting / Controlled Irrigation,55.37,38299.43
Cabbage,Assam,Loamy,Rabi,540.18,423.72,318.96,0.874,221.23,253.21,28.88,Controlled Irrigation,90.83,229990.64
Maize,Assam,Loamy,Rabi,738.66,1400.17,590.93,0.736,147.73,200.62,28.18,Controlled Irrigation,19.54,39201.15
Barley,Uttarakhand,Alluvial,Rabi,412.03,635.56,329.62,0.823,65.92,80.13,30.02,Alternate Wetting / Controlled Irrigation,31.21,25008.57
Rice,Punjab,Alluvial,Kharif,1253.7,467.83,396.32,0.728,807.23,1108.92,21.38,Alternate Wetting / Controlled Irrigation,84.29,934708.67
Groundnut,Rajasthan,Loamy,Kharif,509.59,252.73,170.78,0.827,338.8,409.85,16.54,Controlled Irrigation,98.77,404808.84
Soybean,Haryana,Black,Kharif,724.4,778.69,440.27,0.803,269.64,335.93,40.66,Drip Irrigation,46.96,157752.73
Tomato,Andhra Pradesh,Red,Rabi,413.87,1676.85,331.09,0.799,103.47,129.53,40.57,Drip or Sprinkler Irrigation,82.66,107069.5
Onion,Kerala,Loamy,Rabi,438.67,827.65,350.94,0.883,87.73,99.3,35.6,Controlled Irrigation,24.12,23951.16
Tomato,Chhattisgarh,Red,Kharif,455.91,1015.13,364.73,0.783,113.98,145.64,25.31,Drip or Sprinkler Irrigation,56.85,82796.34
Sugarcane,Chhattisgarh,Black,Kharif,1457.05,1548.54,1033.22,0.703,394.69,561.52,27.99,Drip Irrigation,9.44,53007.49
Cotton,Assam,Black,Kharif,838.79,311.29,171.6,0.826,650.42,787.25,30.67,Drip Irrigation,66.65,524702.12
Rice,Punjab,Alluvial,Kharif,1393.94,1701.02,974.71,0.911,363.47,399.15,39.93,Alternate Wetting / Controlled Irrigation,11.95,47698.42
Cabbage,Haryana,Loamy,Rabi,431.63,1566.53,345.31,0.87,86.33,99.19,40.31,Controlled Irrigation,49.59,49188.32
Sugarcane,Assam,Alluvial,Kharif,1774.21,1019.13,858.22,0.844,845.02,1001.71,20.37,Alternate Wetting / Controlled Irrigation,38.96,390266.22
Tomato,Himachal Pradesh,Loamy,Rabi,418.53,1298.76,334.82,0.919,83.71,91.09,29.22,Controlled Irrigation,75.61,68873.15
Millet,Himachal Pradesh,Sandy,Kharif,421.86,1384.91,337.49,0.861,134.99,156.74,30.3,Drip Irrigation,9.3,14576.82
Groundnut,Haryana,Sandy,Kharif,595.92,1636.12,476.74,0.811,190.69,235.01,43.8,Drip Irrigation,4.99,11727.0
Carrot,Haryana,Loamy,Rabi,395.55,942.46,316.44,0.8,79.11,98.94,35.69,Controlled Irrigation,38.03,37626.88
Pigeonpea,West Bengal,Loamy,Kharif,606.74,1453.15,485.39,0.905,121.35,134.08,27.39,Controlled Irrigation,58.66,78651.33
Millet,Uttarakhand,Red,Kharif,310.38,1039.13,248.3,0.819,77.59,94.73,29.83,Drip or Sprinkler Irrigation,41.56,39369.79
Lentil,Andhra Pradesh,Alluvial,Rabi,323.91,270.05,202.24,0.782,108.72,139.06,25.27,Alternate Wetting / Controlled Irrigation,67.1,93309.26
Tomato,Assam,Alluvial,Rabi,513.26,565.79,410.61,0.824,82.12,99.63,32.9,Alternate Wetting / Controlled Irrigation,11.2,11158.56
Soybean,Odisha,Loamy,Kharif,723.08,1267.47,578.46,0.677,144.62,213.77,32.47,Controlled Irrigation,8.87,18961.4
Chickpea,Jharkhand,Loamy,Rabi,443.59,1545.94,354.87,0.725,88.72,122.44,37.2,Controlled Irrigation,32.19,39413.44
Pigeonpea,Assam,Black,Kharif,637.22,632.15,484.45,0.862,140.02,162.43,31.36,Drip Irrigation,23.31,37862.43
Banana,Uttar Pradesh,Black,Kharif,1110.44,960.4,730.54,0.78,357.69,458.48,31.73,Drip Irrigation,7.21,33056.41
Cabbage,Telangana,Red,Rabi,460.04,335.9,261.89,0.919,221.15,240.53,34.43,Drip or Sprinkler Irrigation,50.4,121227.12
Soybean,Himachal Pradesh,Red,Kharif,531.63,1406.27,425.3,0.849,132.91,156.54,36.74,Drip or Sprinkler Irrigation,53.15,83201.01
Millet,Assam,Sandy,Kharif,499.86,1405.28,399.88,0.721,159.95,221.74,34.07,Drip Irrigation,71.18,157834.53
Tomato,Assam,Red,Rabi,522.52,390.39,268.67,0.685,279.97,408.81,23.46,Drip or Sprinkler Irrigation,73.9,302110.59
Mustard,Chhattisgarh,Black,Rabi,466.35,1348.56,373.08,0.711,83.94,118.09,31.34,Drip Irrigation,35.8,42276.22
Pigeonpea,Madhya Pradesh,Loamy,Kharif,537.45,274.66,173.82,0.872,363.63,417.13,17.26,Controlled Irrigation,21.95,91560.03
Banana,Telangana,Alluvial,Kharif,1034.51,1729.51,827.61,0.739,165.52,223.85,32.22,Alternate Wetting / Controlled Irrigation,98.16,219731.16
Sugarcane,Gujarat,Loamy,Kharif,1465.97,1757.38,1172.77,0.685,293.19,427.77,38.49,Controlled Irrigation,42.35,181160.6
Cotton,Tamil Nadu,Black,Kharif,563.26,1760.27,450.61,0.855,101.39,118.56,36.94,Drip Irrigation,85.21,101024.98
Mustard,Chhattisgarh,Alluvial,Rabi,338.73,1441.46,270.98,0.783,54.2,69.18,28.41,Alternate Wetting / Controlled Irrigation,77.91,53898.14
Wheat,Uttarakhand,Alluvial,Rabi,600.96,1514.12,480.77,0.786,96.15,122.26,43.68,Alternate Wetting / Controlled Irrigation,53.78,65751.43
Chickpea,Haryana,Black,Rabi,360.89,557.5,288.71,0.885,64.96,73.41,30.26,Drip Irrigation,80.0,58728.0
Chickpea,West Bengal,Red,Rabi,451.31,1015.32,361.05,0.908,112.83,124.28,28.19,Drip or Sprinkler Irrigation,13.37,16616.24
Barley,Assam,Loamy,Rabi,376.81,1233.94,301.45,0.849,75.36,88.76,43.56,Controlled Irrigation,10.76,9550.58
Banana,Maharashtra,Alluvial,Kharif,1278.34,1483.17,1022.67,0.709,204.53,288.29,44.06,Alternate Wetting / Controlled Irrigation,67.24,193846.2
Sugarcane,Gujarat,Loamy,Kharif,1303.09,864.09,627.56,0.731,675.54,923.8,16.11,Controlled Irrigation,88.18,814606.84
Sugarcane,Rajasthan,Black,Kharif,1779.89,406.8,247.45,0.708,1496.84,2114.32,34.47,Drip Irrigation,75.0,1585740.0
Banana,Uttar Pradesh,Alluvial,Kharif,1152.28,1510.33,921.82,0.853,184.36,216.09,44.15,Alternate Wetting / Controlled Irrigation,69.42,150009.68
Jute,Telangana,Alluvial,Kharif,601.62,1039.44,481.29,0.662,96.26,145.51,25.4,Alternate Wetting / Controlled Irrigation,20.7,30120.57
Groundnut,Karnataka,Sandy,Kharif,464.0,437.62,291.49,0.723,228.18,315.54,44.88,Drip Irrigation,41.71,131611.73
Banana,West Bengal,Alluvial,Kharif,1253.33,334.53,254.2,0.671,949.0,1413.91,26.71,Alternate Wetting / Controlled Irrigation,9.61,135876.75
Lentil,Rajasthan,Loamy,Rabi,407.96,563.35,326.36,0.894,81.59,91.23,42.82,Controlled Irrigation,79.07,72135.56
Lentil,Andhra Pradesh,Alluvial,Rabi,380.74,407.18,260.38,0.742,105.14,141.71,41.93,Alternate Wetting / Controlled Irrigation,28.3,40103.93
Wheat,Chhattisgarh,Loamy,Rabi,620.76,974.58,496.61,0.723,124.15,171.81,34.08,Controlled Irrigation,80.44,138203.96
Tomato,Bihar,Red,Kharif,450.25,410.59,231.87,0.891,240.9,270.3,44.2,Drip or Sprinkler Irrigation,48.82,131960.46
Sugarcane,Maharashtra,Black,Kharif,1745.94,1057.03,660.0,0.659,1051.02,1594.31,34.28,Drip Irrigation,60.17,959296.33
Onion,West Bengal,Red,Rabi,435.6,601.77,348.48,0.722,108.9,150.86,37.16,Drip or Sprinkler Irrigation,44.27,66785.72
Pigeonpea,Jharkhand,Loamy,Kharif,534.55,854.21,427.64,0.811,106.91,131.91,27.26,Controlled Irrigation,57.48,75821.87
Pigeonpea,Himachal Pradesh,Black,Kharif,478.15,347.05,259.58,0.892,209.01,234.36,34.11,Drip Irrigation,94.75,222056.1
Groundnut,Assam,Red,Kharif,519.37,1209.89,415.5,0.676,129.84,192.11,34.78,Drip or Sprinkler Irrigation,3.0,5763.3
Millet,Punjab,Red,Kharif,461.34,894.95,369.07,0.738,115.33,156.23,44.34,Drip or Sprinkler Irrigation,42.36,66179.03
Lentil,West Bengal,Alluvial,Rabi,426.15,1436.44,340.92,0.731,68.18,93.27,42.16,Alternate Wetting / Controlled Irrigation,72.27,67406.23
Soybean,Haryana,Black,Kharif,568.16,1745.24,454.53,0.805,102.27,126.98,35.18,Drip Irrigation,39.62,50309.48
Mustard,Madhya Pradesh,Alluvial,Rabi,363.85,1572.06,291.08,0.655,58.22,88.85,32.52,Alternate Wetting / Controlled Irrigation,14.63,12998.76
Groundnut,Uttar Pradesh,Loamy,Kharif,589.88,1187.64,471.9,0.763,117.98,154.67,39.67,Controlled Irrigation,58.43,90373.68
Soybean,Tamil Nadu,Loamy,Kharif,511.18,1566.65,408.94,0.73,102.24,140.03,34.33,Controlled Irrigation,98.14,137425.44
Carrot,Gujarat,Loamy,Rabi,363.15,1127.53,290.52,0.912,72.63,79.6,29.8,Controlled Irrigation,99.34,79074.64
Barley,Telangana,Alluvial,Rabi,378.83,1260.74,303.07,0.697,60.61,86.91,39.36,Alternate Wetting / Controlled Irrigation,10.46,9090.79
Groundnut,Andhra Pradesh,Loamy,Kharif,569.76,474.61,272.59,0.84,297.17,353.88,17.98,Controlled Irrigation,49.34,174604.39
Potato,Uttarakhand,Alluvial,Rabi,457.95,959.07,366.36,0.74,73.27,99.02,44.8,Alternate Wetting / Controlled Irrigation,63.62,62996.52
Mustard,Madhya Pradesh,Alluvial,Rabi,374.45,1017.08,299.56,0.843,59.91,71.06,28.47,Alternate Wetting / Controlled Irrigation,89.12,63328.67
Pigeonpea,Kerala,Red,Kharif,496.58,855.63,397.27,0.723,124.15,171.67,40.57,Drip or Sprinkler Irrigation,37.46,64307.58
Carrot,Maharashtra,Loamy,Rabi,400.23,297.01,240.06,0.661,160.16,242.16,30.72,Controlled Irrigation,54.21,131274.94
Jute,Bihar,Alluvial,Kharif,844.78,1358.98,675.83,0.775,135.17,174.34,32.09,Alternate Wetting / Controlled Irrigation,52.41,91371.59
Lentil,Gujarat,Alluvial,Rabi,386.39,1654.37,309.11,0.885,61.82,69.85,40.28,Alternate Wetting / Controlled Irrigation,88.14,61565.79
Onion,Telangana,Red,Kharif,472.36,1127.27,377.89,0.878,118.09,134.53,34.03,Drip or Sprinkler Irrigation,56.9,76547.57
Barley,Haryana,Alluvial,Rabi,412.16,1580.05,329.73,0.797,65.95,82.79,37.28,Alternate Wetting / Controlled Irrigation,55.3,45782.87
Rice,Maharashtra,Alluvial,Kharif,1169.42,1677.56,935.53,0.673,187.11,278.12,27.6,Alternate Wetting / Controlled Irrigation,3.23,8983.28
